time,seconds_elapsed,z,y,x
1762361557996220200,0.04622021484375,-1.0027008056640625,-0.0310821533203125,0.018402099609375
1762361558006198300,0.0561982421875,-1.0021514892578125,-0.0315704345703125,0.022552490234375
1762361558016175400,0.06617529296875,-1.0010986328125,-0.0318450927734375,0.02288818359375
1762361558026152200,0.076152099609375,-0.9956817626953125,-0.0338134765625,0.0192718505859375
1762361558036129300,0.08612939453125,-0.9917755126953125,-0.0338897705078125,0.016998291015625
1762361558046106000,0.096106201171875,-0.99078369140625,-0.0330810546875,0.0158843994140625
1762361558056083200,0.106083251953125,-0.9907989501953125,-0.03265380859375,0.01763916015625
1762361558066061300,0.116061279296875,-0.9915771484375,-0.030975341796875,0.0206146240234375
1762361558076038100,0.1260380859375,-1.0000762939453125,-0.0319976806640625,0.0203399658203125
1762361558086015200,0.13601513671875,-1.0059356689453125,-0.0314788818359375,0.019073486328125
1762361558095992000,0.145991943359375,-1.0061187744140625,-0.032928466796875,0.0185394287109375
1762361558105969200,0.15596923828125,-1.003753662109375,-0.0310211181640625,0.0142974853515625
1762361558115946200,0.1659462890625,-0.9987945556640625,-0.029083251953125,0.014556884765625
1762361558125923000,0.175923095703125,-0.9945068359375,-0.0322113037109375,0.016937255859375
1762361558135901200,0.185901123046875,-0.992584228515625,-0.0298919677734375,0.0186309814453125
1762361558145878300,0.195878173828125,-0.9914093017578125,-0.02899169921875,0.0196685791015625
1762361558155855000,0.205855224609375,-0.99066162109375,-0.031707763671875,0.0204620361328125
1762361558165832200,0.215832275390625,-0.9904022216796875,-0.0340423583984375,0.0189971923828125
1762361558175809000,0.22580908203125,-0.9942626953125,-0.0322265625,0.0149078369140625
1762361558185786400,0.235786376953125,-0.9951629638671875,-0.0354156494140625,0.0101165771484375
1762361558195764200,0.24576416015625,-0.9987030029296875,-0.0392303466796875,0.008270263671875
1762361558205741000,0.255740966796875,-1.001617431640625,-0.0386505126953125,0.0063629150390625
1762361558215718100,0.26571826171875,-0.9961090087890625,-0.0372772216796875,0.00604248046875
1762361558225695200,0.2756953125,-0.9864044189453125,-0.0384674072265625,0.0080108642578125
1762361558235672300,0.28567236328125,-0.9845428466796875,-0.0371246337890625,0.008941650390625
1762361558245649200,0.295649169921875,-0.984039306640625,-0.0341796875,0.00537109375
1762361558255626200,0.305626220703125,-0.9904937744140625,-0.035675048828125,0.0077667236328125
1762361558265604400,0.315604248046875,-0.992340087890625,-0.0352325439453125,0.0121002197265625
1762361558275581200,0.325581298828125,-0.9962158203125,-0.0342254638671875,0.0169525146484375
1762361558285558300,0.335558349609375,-0.993438720703125,-0.0401763916015625,0.016387939453125
1762361558295535000,0.34553515625,-0.9858856201171875,-0.0423736572265625,0.013885498046875
1762361558305512200,0.35551220703125,-0.9847869873046875,-0.0413665771484375,0.01654052734375
1762361558315489300,0.3654892578125,-0.98687744140625,-0.041229248046875,0.0175323486328125
1762361558325466000,0.375466064453125,-0.9897613525390625,-0.042083740234375,0.016204833984375
1762361558335444200,0.3854443359375,-0.9916534423828125,-0.0392608642578125,0.0163116455078125
1762361558345421300,0.39542138671875,-0.9930572509765625,-0.0358428955078125,0.0127410888671875
1762361558355398100,0.405398193359375,-0.9931488037109375,-0.0378265380859375,0.01202392578125
1762361558365375200,0.415375244140625,-0.9859466552734375,-0.0429840087890625,0.0079803466796875
1762361558375352000,0.42535205078125,-0.9771881103515625,-0.0454864501953125,0.0061187744140625
1762361558385329200,0.4353291015625,-0.9727630615234375,-0.043853759765625,0.0035858154296875
1762361558395306000,0.445305908203125,-0.977935791015625,-0.0445556640625,0.0048980712890625
1762361558405284000,0.4552841796875,-0.98516845703125,-0.045867919921875,0.0052642822265625
1762361558415261200,0.46526123046875,-0.99530029296875,-0.0489501953125,0.0062408447265625
1762361558425238000,0.475238037109375,-0.99639892578125,-0.051422119140625,0.0069427490234375
1762361558435215400,0.48521533203125,-0.9886016845703125,-0.0542449951171875,0.0050811767578125
1762361558445192200,0.495192138671875,-0.97900390625,-0.0558929443359375,0.000640869140625
1762361558455169300,0.505169189453125,-0.9669647216796875,-0.056396484375,0.0025482177734375
1762361558465146400,0.515146484375,-0.955963134765625,-0.0566253662109375,0.0087890625
1762361558475124200,0.525124267578125,-0.9530792236328125,-0.055694580078125,0.0129852294921875
1762361558485101300,0.535101318359375,-0.953094482421875,-0.0590057373046875,0.0117340087890625
1762361558495078100,0.545078125,-0.967254638671875,-0.053985595703125,0.0157318115234375
1762361558505055200,0.55505517578125,-0.9822998046875,-0.050384521484375,0.0149383544921875
1762361558515032300,0.5650322265625,-0.98675537109375,-0.049530029296875,0.013427734375
1762361558525009200,0.575009033203125,-0.9846649169921875,-0.049041748046875,0.01422119140625
1762361558534986200,0.584986328125,-0.975494384765625,-0.0475921630859375,0.0174560546875
